"SKU","UPC","DESCRIPTION","STYLE","COLOR","SIZE","WHOLESALE_PRICE","DISCONTINUED","CLEARANCE","QTY_AVAILABLE","REPLENISH_DATE"
"266","846073045131","MEN'S ZEBRA THONG","266","ZEBRA","O/S","4.5","No","No","0",""
"1104","840295119786","CROCHET MINI DRESS","1104","BLACK","O/S","6","No","No","1255",""
"1115","840295109183","CAMI, BOOTY SHORTS & KNEE HI'S","1115","PINK","O/S","7.85","No","No","77",""
"1130","840295109398","DEEP V OPAQUE TEDDY W/GARTERS","1130","BLACK","O/S","6.1","No","No","189",""
"1137","840295109534","SHEER CRISS CROSS KNEE HI'S","1137","BLACK","O/S","2","No","No","510",""
"1150","840295109428","BLACK CROCHET TEDDY","1150","BLACK","O/S","5.35","No","No","708",""
"1152","840295109190","CAMISETTE, G-STRING & HOSE","1152","BABY PINK","O/S","11","No","No","73",""
"1175","840295119809","SHEER THIGH HI W/ STAY UP LACE","1175","BLACK","O/S","4.9","No","No","702",""
"1185","840295119830","SHEER THIGH HI W/ SIDE FLORAL","1185","BLACK","O/S","4.25","No","No","91",""
"1187","840295119854","LACE THIGH HI WITH 5 INCH TOP","1187","WHITE","O/S","5.35","No","No","837",""
"1188","840295119861","CROCHET SUSPENDER PANTYHOSE","1188","BLACK","O/S","4.1","No","No","345",""
"1189","840295140483","CUBAN FOOT THIGH HI","1189","BLACK/RED","O/S","3.45","No","No","459",""
"1275","840295119885","LONG SLEEVE OPAQUE TEDDY","1275","RED","O/S","6.5","No","No","517",""
"1301","840295119892","VERTICAL STRIPED BODYSTOCKING","1301","BURGUNDY","O/S","7.4","No","No","574",""
"1304","840295119915","SUSPENDER BODYSTOCKING","1304","ROYAL BLUE","O/S","7.4","No","No","583",""
"1306","840295140490","SUSPENDER BODYSTOCKING","1306","WHITE","O/S","7","No","No","963",""
"1310","840295119953","LACE TEDDY","1310","BLACK","O/S","7.25","No","No","669",""
"1316","840295119991","FLORAL THIGH HI W/ STAY UP SIL","1316","WHITE","O/S","5.35","No","No","1105",""
"1320","840295120003","FISHNET MINI DRESS W/ CUT OUTS","1320","ROYAL BLUE","O/S","5.65","No","No","777",""
"1335","840295120058","CAMI & BOOTY SHORTS W/ ZIPPERS","1335","BLACK","O/S","7.1","No","No","494",""
"1340","840295120072","OPAQUE TEDDY W/ O RINGS","1340","BLACK","O/S","8.5","No","No","797",""
"1342","840295120089","OPAQUE & FENCE NET ROMPER","1342","BLACK","O/S","6.1","No","No","646",""
"1349","840295120096","CROCHET SUSPENDER PANTYHOSE","1349","WHITE","O/S","4.2","No","No","151",""
"1351","840295120102","FISHNET GARTER BELT HOSE","1351","BLACK","O/S","5.5","No","No","500",""
"1352","840295140506","LONG SLEEVE BODYSTOCKING","1352","BLACK","O/S","7.95","No","No","356",""
"1357","840295120119","CAMI,BOOTY SHORTS,THIGH HI'S","1357","ROYAL BLUE","O/S","8.1","No","No","973",""
"1358","840295120126","BURNOUT TEDDY W/ THIGH HI'S","1358","BURGUNDY","O/S","8.65","No","No","817",""
"1360","840295120164","CROCHET TEDDY W/ GLOVES","1360","BLACK","O/S","7.5","No","No","583",""
"1366","840295120256","CROCHET SUSPENDER BODYSTOCKING","1366","BLACK","O/S","7.6","No","No","1297",""
"1370","840295120300","SHORT SLEEVE LACE TEDDY","1370","ROYAL BLUE","O/S","7.35","No","No","962",""
"1371","840295120324","CROCHET HALTER MINI DRESS","1371","BLACK","O/S","6.9","No","No","569",""
"1372","840295120348","OPAQUE BRALETTE & BOOTY SHORTS","1372","BLACK","O/S","8.55","No","No","1129",""
"1404","846073016056","BRA, THONG & THIGH HI'S","1404","PINK/BLUE","O/S","7","No","No","1097",""
"1408","846073016070","LONG SLEEVE FENCE NET DRESS","1408","BLACK","O/S","4.45","No","No","1015",""
"1411","846073000017","CAMISETTE, G-STRING & HOSE","1411","LEOPARD","O/S","12.5","No","No","978",""
"1415","846073002950","CUPLESS MINI DRESS","1415","BLACK","O/S","4.5","No","No","954",""
"1438","846073000321","OPAQUE TEDDY","1438","BLACK","O/S","3.35","No","No","1104",""
"1439","846073000345","BLACK FISHNET TEDDY","1439","BLACK","O/S","3.95","No","No","226",""
"1448","846073000499","LACE CAMI AND THONG","1448","BLACK","O/S","4.6","No","No","405",""
"1470","846073003018","LONG SLEEVE BURNOUT TEDDY","1470","BLACK","O/S","7.5","No","No","790",""
"1475","846073048194","BURNOUT HALTER MINI DRESS","1475","BLACK","O/S","6.05","No","No","830",""
"1496","846073003032","LEOPARD SLIP MINI DRESS","1496","LEOPARD","O/S","5.95","No","No","1227",""
"1507","840295109022","SHEER LONG SLEEVE MINI DRESS","1507","NUDE/BLACK","O/S","6.25","No","No","1199",""
"1510","846073048224","BURNOUT CAMI TOP & SHORTS","1510","BLACK","O/S","6.75","No","No","514",""
"1513","840295109244","CAMI, BOOTY SHORTS, KNEE HI'S","1513","CHARTREUSE/TURQUOISE","O/S","7","No","No","321",""
"1525","846073073844","CAMISETTE, G-STRING & HOSE","1525","BLACK","O/S","11.5","No","No","699",""
"1535","846073073912","BRA, THONG & THIGH HI'S","1535","PINK/YELLOW","O/S","7","No","No","1278",""
"1541","846073073967","LACE TEDDY W/ THIGH HI'S","1541","BLACK","O/S","8.4","No","No","964",""
"1542","840295109442","LONG SLEEVE TEDDY W/THIGH HI'S","1542","PURPLE","O/S","9.15","No","No","738",""
"1546","846073090612","OPAQUE BURNOUT TEDDY W/HOSE","1546","BLACK","O/S","7.3","No","No","10","12/28/23"
"1548","846073090629","CAMI, BOOTY SHORTS & KNEE HI'S","1548","NEON PINK/NEON PURPLE","O/S","7","No","No","515",""
"1553","846073090391","CAMI TOP,THONG & THIGH WARMERS","1553","TURQUOISE","O/S","6","No","No","842",""
"1557","846073090230","SUSPENDER BODYSTOCKING","1557","NEON PINK","O/S","7.75","No","No","747",""
"1558","846073090414","LACE CAMI, SKIRT & GLOVES","1558","TURQUOISE","O/S","7.8","No","No","555",""
"1593","840295109367","LONG SLEEVE LACE ROMPER","1593","ROYAL BLUE","O/S","8.2","No","No","109",""
"1637","840295109107","FISHNET SUSPENDER BODYSTOCKING","1637","PURPLE","O/S","4.35","No","No","97","03/01/24"
"1650","840295109138","GEOMETRIC NET BODYSTOCKING","1650","BLACK","O/S","7.6","No","No","695",""
"1658","840295109169","STRAPPY BODYSTOCKING","1658","PURPLE","O/S","7.3","No","No","1068",""
"1684","846073090261","OPEN BUST NET BODYSTOCKING","1684","NEON PINK","O/S","6.35","No","No","838",""
"1689","846073090322","FISHNET & LACE BODYSTOCKING","1689","BLACK","O/S","8.25","No","No","1561",""
"1690","846073090278","ZEBRA LONG SLEEVE BODYSTOCKING","1690","NUDE/BLACK","O/S","8.15","No","No","0",""
"1695","846073090292","HALTER SUSPENDER BODYSTOCKING","1695","PURPLE","O/S","7.75","No","No","758","04/05/19"
"1787","846073090667","SHEER THIGH HI W/LEOPARD TOP","1787","BLACK","O/S","3.4","No","No","532",""
"1791","846073090506","WHITE/BLUE THIGH HI W/LACE TOP","1791","WHITE/BLUE","O/S","2.4","No","No","1239",""
"1792","846073090513","LACE THIGH HI W/BACK SEAM","1792","BLACK","O/S","4.2","No","No","1206",""
"1793","840295109565","SHEER SUSPENDER PANTYHOSE","1793","BLACK","O/S","2.9","No","No","768",""
"1813","846073090353","SHEER THIGH HI W/LACE APPLIQUE","1813","BLACK","O/S","2.75","No","No","562",""
"1825","846073074278","FOOTLESS NET THIGH HI W/ LACE","1825","BLACK","O/S","3.25","No","No","148",""
"1827","840295109596","FISHNET/FLORAL PANTYHOSE","1827","BLACK","O/S","4","No","No","193",""
"1835","840295109633","PANTYHOSE W/THIGH DETAIL","1835","BLACK","O/S","4.2","No","No","398",""
"1841","846073074223","SHEER PANTYHOSE W/CRISS CROSS","1841","BLACK","O/S","3.9","No","No","251",""
"1879","846073048439","OPAQUE THIGH HI LEG WARMERS","1879","BLACK","O/S","1.7","No","No","87",""
